,col1,col2,col3,col4,date_of_birth
0,0,0,0,0,1915-07-14
1,1,1,1,1,2010-04-25
2,2,2,2,2,1969-12-24
3,3,3,3,3,1931-08-15
4,4,4,4,4,2003-02-24
5,5,5,5,5,1972-06-20
6,6,6,6,6,1909-04-28
7,7,7,7,7,1986-12-07
8,8,8,8,8,2010-02-18
9,9,9,9,9,1997-11-19
10,10,7,10,10,1915-04-02
11,11,10,11,11,1949-12-22
12,12,11,12,12,1915-06-29
13,13,12,13,13,1958-06-05
14,14,13,14,14,1995-06-24
15,15,14,15,15,1947-11-01
16,16,15,16,16,1930-01-28
17,17,16,17,17,2021-10-18
18,18,17,18,18,1912-02-10
19,19,18,19,19,1988-10-13
20,20,19,20,20,2023-12-15
21,21,19,21,21,1970-07-05
22,22,20,22,22,1943-09-22
23,23,21,23,23,1977-04-04
24,24,22,24,24,1972-07-27
25,25,23,25,25,1922-08-24
26,26,24,26,26,1910-04-02
27,27,2,27,27,1927-08-17
28,28,24,28,28,1922-11-08
29,29,25,29,29,1975-06-10
30,30,26,30,30,1979-10-20
31,31,27,31,31,1969-06-21
32,32,28,32,32,1926-10-18
33,33,29,33,33,1983-07-27
34,34,30,34,34,1976-08-22
35,35,4,4,35,1963-06-29
36,36,31,35,36,1977-06-21
37,37,8,36,37,1954-01-19
38,38,9,37,38,1972-11-22
39,39,26,38,39,2016-01-16
40,40,32,39,40,1909-11-02
41,41,33,40,41,1931-03-31
42,42,34,41,42,1938-01-18
43,43,35,42,43,1969-05-19
44,44,16,43,44,1990-02-18
45,45,36,44,45,2005-01-26
46,46,37,45,46,1930-09-01
47,47,38,46,47,2023-02-28
48,48,39,47,48,1968-07-04
49,49,9,48,49,1955-10-21
50,50,40,49,50,1986-01-15
51,51,19,50,51,1909-03-02
52,52,41,51,52,1932-03-19
53,53,42,52,53,1939-04-04
54,54,43,53,54,2014-05-30
55,55,44,54,55,1967-10-05
56,56,2,37,56,2003-05-05
57,57,45,55,57,1991-01-22
58,58,46,52,58,2011-06-09
59,59,47,56,59,1960-11-21
60,60,48,57,60,2007-09-11
61,61,49,58,61,1917-01-18
62,62,50,59,62,1984-09-18
63,63,18,60,63,1952-07-24
64,64,51,61,64,1992-10-01
65,65,52,62,65,1911-01-15
66,66,50,63,66,1956-03-22
67,67,53,64,67,1976-12-08
68,68,13,65,68,1935-07-10
69,69,54,41,69,1938-03-12
70,70,7,66,70,1974-02-20
71,71,55,67,71,1909-07-12
72,72,56,37,72,1964-04-29
73,73,34,68,73,1985-09-24
74,74,57,69,74,1967-11-20
75,75,58,70,75,1960-10-15
76,76,59,71,76,1918-10-12
77,77,45,72,77,2010-03-07
78,78,60,73,78,2011-02-07
79,79,60,37,79,1975-08-27
80,80,61,24,80,1975-07-22
81,81,62,74,81,1925-01-20
82,82,25,75,82,1957-03-22
83,83,63,76,83,1948-08-27
84,84,63,77,84,2010-02-21
85,85,64,78,85,1962-02-15
86,86,65,79,86,1969-05-05
87,87,66,61,87,1973-10-10
88,88,35,80,88,1941-01-31
89,89,67,48,89,1991-08-10
90,90,8,81,90,1964-09-21
91,91,68,82,91,1976-01-27
92,92,20,83,92,1926-06-18
93,93,69,84,93,2005-12-29
94,94,29,33,94,1913-05-29
95,95,70,37,95,1973-04-11
96,96,68,85,96,1916-05-02
97,97,71,64,97,1913-12-01
98,98,72,86,98,1909-08-20
99,99,73,87,99,1956-11-02
100,100,74,15,100,1969-01-14
101,101,75,83,101,1973-07-01
102,102,76,28,102,1942-02-25
103,103,77,88,103,1962-10-03
104,104,78,89,104,1942-06-22
